player_id,display_name,season,age,position,college_name,draft_year,draft_round,height,weight,games,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_epa,fantasy_points,fantasy_points_ppr
00-0019647,Shaun Alexander,2000,23,RB,Alabama,2000.0,1.0,71.0,228.0,16,64,313.0,2,20.0,-4.691900939098559,2.0,5,11,41.0,0,-6.315148380177561,43.4,48.4
00-0019647,Shaun Alexander,2001,24,RB,Alabama,2000.0,1.0,71.0,228.0,16,309,1318.0,14,61.0,-19.510577044096664,4.0,44,59,343.0,2,4.7126326950925215,254.10000000000002,298.1
00-0019647,Shaun Alexander,2002,25,RB,Alabama,2000.0,1.0,71.0,228.0,16,295,1175.0,16,61.0,-16.295688807675255,2.0,59,78,460.0,2,5.10192351111693,269.5,328.5
00-0019647,Shaun Alexander,2003,26,RB,Alabama,2000.0,1.0,71.0,228.0,16,326,1435.0,14,79.0,-6.803835843271591,4.0,42,42,295.0,2,20.15735505000339,263.0,305.0
00-0019647,Shaun Alexander,2004,27,RB,Alabama,2000.0,1.0,71.0,228.0,16,353,1688.0,16,77.0,1.8749004801681437,5.0,23,23,170.0,4,11.34918620905046,299.8,322.8
00-0019647,Shaun Alexander,2005,28,RB,Alabama,2000.0,1.0,71.0,228.0,16,370,1880.0,27,107.0,51.733005830540584,5.0,15,15,78.0,1,2.980160278191666,361.8,376.8
00-0019647,Shaun Alexander,2006,29,RB,Alabama,2000.0,1.0,71.0,228.0,10,252,896.0,7,54.0,-34.58189961696235,5.0,12,12,48.0,0,1.511613178125117,130.4,142.4
00-0019647,Shaun Alexander,2007,30,RB,Alabama,2000.0,1.0,71.0,228.0,13,207,716.0,4,37.0,-28.510166632072774,2.0,14,14,76.0,1,3.8743207887455355,109.2,123.2
00-0019649,Trung Canidate,2001,24,RB,Arizona,2000.0,1.0,71.0,205.0,13,78,441.0,6,19.0,9.869236565980827,1.0,17,23,154.0,0,-14.006359713415344,91.50000000000001,108.50000000000001
00-0019649,Trung Canidate,2003,26,RB,Arizona,2000.0,1.0,71.0,205.0,11,142,597.0,1,27.0,-1.8491150476329494,1.0,10,10,71.0,1,2.5483024522545747,78.80000000000001,88.80000000000001
00-0019693,Jamal Lewis,2000,21,RB,Tennessee,2000.0,1.0,71.0,245.0,16,307,1338.0,6,61.0,-1.7465022962021992,4.0,27,36,296.0,0,-0.3188800581649671,197.4,224.4
00-0019693,Jamal Lewis,2002,23,RB,Tennessee,2000.0,1.0,71.0,245.0,16,308,1327.0,6,64.0,-28.237825217997603,7.0,47,60,442.0,1,10.733245348328346,204.9,251.9
00-0019693,Jamal Lewis,2003,24,RB,Tennessee,2000.0,1.0,71.0,245.0,16,388,2063.0,14,84.0,-3.572465636356153,9.0,26,26,205.0,0,10.84697366679525,296.8,322.8
00-0019693,Jamal Lewis,2004,25,RB,Tennessee,2000.0,1.0,71.0,245.0,12,235,1006.0,7,48.0,-6.831627450441612,2.0,10,10,116.0,0,6.561696908727754,154.2,164.2
00-0019693,Jamal Lewis,2005,26,RB,Tennessee,2000.0,1.0,71.0,245.0,15,269,906.0,3,48.0,-52.56087256963753,5.0,32,32,191.0,1,3.440383040273951,123.7,155.7
00-0019693,Jamal Lewis,2006,27,RB,Tennessee,2000.0,1.0,71.0,245.0,16,314,1132.0,9,46.0,-41.94266229801864,4.0,18,18,115.0,0,5.621870263013989,174.7,192.70000000000002
00-0019693,Jamal Lewis,2007,28,RB,Tennessee,2000.0,1.0,71.0,245.0,15,299,1303.0,9,58.0,-22.74770689258458,4.0,30,30,248.0,2,15.791415725281695,217.10000000000002,247.10000000000002
00-0019693,Jamal Lewis,2008,29,RB,Tennessee,2000.0,1.0,71.0,245.0,16,279,1002.0,4,42.0,-32.26188768255841,1.0,23,23,178.0,0,4.546704687731108,140.0,163.0
